model,mode,n,provider_ok,json_valid,schema_valid,status_correct,order_exact,constraints_exact,state_preserved_when_blocked,semantic_ok,unsafe_state_change,unintended_drift,identity_error,identity_fidelity,identity_observable_n,operation_executable,authorized_write_precision,authorized_write_recall,mean_collateral_writes,mean_latency_s,total_latency_s,mean_prompt_tokens,mean_completion_tokens,semantic_successes,total_estimated_usd,seconds_per_semantic_success,cost_per_semantic_success_usd
Qwen/Qwen3-32B,line_patch,1080,100.0,100.0,100.0,89.44444444444444,89.81481481481481,95.46296296296296,79.25925925925927,85.27777777777777,5.37037037037037,2.9629629629629632,2.9629629629629632,97.03703703703704,1080,100.0,90.83333333333333,92.12962962962963,0.08518518518518518,3.8995486358801523,4211.512526750565,1640.0,90.25555555555556,921,0.20636279999999999,4.572760615364348,0.00022406384364820846
Qwen/Qwen3-32B,rewrite_with_ids,1080,100.0,100.0,100.0,85.46296296296296,73.42592592592592,93.42592592592592,72.22222222222221,65.46296296296296,14.537037037037038,12.407407407407407,8.055555555555555,91.94444444444444,1080,100.0,76.91358024691358,80.46296296296296,0.4111111111111111,5.905234112783715,6377.652841806412,1304.0,145.0398148148148,707,0.1878249,9.020725377378234,0.00026566463932107496
nvidia/Cosmos3-Super-Reasoner,json_patch,1080,100.0,94.81481481481482,94.81481481481482,76.57407407407408,16.666666666666664,81.01851851851852,66.66666666666666,0.0,0.0,0.0,0.0,94.81481481481482,1080,0.0,17.578125,17.578125,0.0,11.83728763129976,12784.270641803741,1214.0,727.712037037037,0,0.3668907,,
nvidia/Cosmos3-Super-Reasoner,line_patch,1080,100.0,100.0,100.0,84.16666666666667,89.9074074074074,97.5925925925926,98.88888888888889,81.94444444444444,0.2777777777777778,0.1851851851851852,0.0,100.0,1080,100.0,91.01851851851852,90.87962962962963,0.032407407407407406,2.4188500709003873,2612.358076572418,1640.0,121.9675925925926,885,0.21663749999999998,2.951817035675049,0.0002447881355932203
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,1080,100.0,100.0,100.0,80.46296296296296,73.98148148148148,95.27777777777777,87.03703703703704,69.25925925925925,1.2037037037037037,1.3888888888888888,1.2037037037037037,98.79629629629629,1080,100.0,75.83333333333333,77.68518518518519,0.19814814814814816,3.8646064115895165,4173.774924516678,1304.0,213.52685185185186,748,0.2100147,5.579913000690746,0.0002807683155080214
openai/gpt-oss-120b,json_patch,1080,100.0,98.24074074074073,98.24074074074073,95.74074074074073,16.666666666666664,81.75925925925925,66.66666666666666,0.0,0.8333333333333334,0.0,0.0,98.24074074074073,1080,0.0,16.96512723845429,16.96512723845429,0.0,1.844315274114962,1991.860496044159,1259.5805555555555,428.7851851851852,0,0.48190485,,
openai/gpt-oss-120b,line_patch,1080,100.0,99.9074074074074,99.9074074074074,96.38888888888889,92.4074074074074,92.96296296296296,80.74074074074075,91.85185185185185,1.574074074074074,1.574074074074074,1.574074074074074,98.33333333333333,1080,99.9074074074074,92.7092987333951,93.04911955514366,0.04448563484708063,1.777057605098795,1919.2222135066986,1685.5805555555555,387.1972222222222,992,0.52396785,1.9346998120027203,0.0005281933971774194
openai/gpt-oss-120b,rewrite_with_ids,1080,100.0,100.0,100.0,97.68518518518519,92.4074074074074,95.74074074074073,91.11111111111111,91.2962962962963,1.2037037037037037,0.6481481481481481,0.6481481481481481,99.35185185185185,1080,100.0,92.54629629629629,92.77777777777779,0.1111111111111111,2.0240906726430965,2186.017926454544,1351.5805555555555,478.63425925925924,986,0.52911105,2.217056720542134,0.0005366237829614605
zai-org/GLM-5.1,json_patch,1007,100.0,97.02085402184707,97.02085402184707,95.72989076464746,11.916583912611719,83.31678252234359,60.913705583756354,0.0,0.0,0.0,0.0,97.02085402184707,1007,0.0,12.282497441146365,12.282497441146365,0.0,27.7695737910247,27963.960807561874,1206.9473684210527,640.6643495531281,0,4.54021,,
zai-org/GLM-5.1,line_patch,1007,100.0,96.32571996027805,96.32571996027805,94.93545183714002,91.9563058589871,92.05561072492551,74.11167512690355,91.9563058589871,0.09930486593843098,0.09930486593843098,0.09930486593843098,96.22641509433963,1007,96.32571996027805,95.61855670103093,95.77319587628867,0.012371134020618556,20.735387758323192,20880.535472631454,1631.9473684210527,477.8093346573982,926,4.417796999999999,22.54917437649185,0.00477083909287257
zai-org/GLM-5.1,rewrite_with_ids,1007,100.0,95.92850049652432,95.92850049652432,95.43197616683217,85.60079443892751,94.63753723932473,86.29441624365482,85.20357497517378,0.09930486593843098,0.09930486593843098,0.09930486593843098,95.8291956305859,1007,95.92850049652432,89.32022084195998,89.44099378881988,0.2391304347826087,27.05761164302504,27247.014924526215,1296.9473684210527,621.6345580933465,858,4.5827748,31.756427650962955,0.005341229370629371
