model,metric,comparison,mode_a,mode_b,n_cases,n_clusters,cluster_unit,mode_a_rate,mode_b_rate,diff_b_minus_a,cluster_ci_low,cluster_ci_high,mode_a_only_successes,mode_b_only_successes,case_level_mcnemar_p_descriptive,cluster_sign_flip_p,cluster_sign_flip_q_bh
zai-org/GLM-5.1,semantic_ok,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,85.74074074074075,0.0,-85.76388888888887,-90.71180555555554,-80.17939814814815,926,0,3.5257702653609953e-279,4.999750012499375e-05,4.999750012499375e-05
NousResearch/Hermes-4-405B,unsafe_state_change,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,1.9444444444444444,1.9444444444444444,0.0,0.0,0.0,2,2,1.0,1.0,1.0
NousResearch/Hermes-4-405B,unsafe_state_change,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,1.9444444444444444,0.0,-1.8229166666666667,-4.6875,0.0,21,0,9.5367431640625e-07,0.5,0.875
NousResearch/Hermes-4-405B,unsafe_state_change,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,1.9444444444444444,0.0,-1.8229166666666667,-4.6875,0.0,21,0,9.5367431640625e-07,0.5,0.875
NousResearch/Hermes-4-70B,unsafe_state_change,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,1.1111111111111112,1.2037037037037037,0.08680555555555554,-2.6041666666666665,2.170138888888889,12,13,1.0,1.0,1.0
NousResearch/Hermes-4-70B,unsafe_state_change,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,1.1111111111111112,0.0,-1.0416666666666667,-3.125,0.0,12,0,0.00048828125,1.0,1.0
NousResearch/Hermes-4-70B,unsafe_state_change,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,1.2037037037037037,0.0,-1.128472222222222,-2.517361111111111,-0.08680555555555554,13,0,0.000244140625,0.125,0.875
Qwen/Qwen3-235B-A22B-Instruct-2507,unsafe_state_change,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,2.5925925925925926,1.2962962962962963,-1.215277777777778,-3.298611111111111,0.2604166666666667,18,4,0.004343509674072266,0.375,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507,unsafe_state_change,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,2.5925925925925926,1.6666666666666667,-0.8680555555555557,-3.125,0.78125,17,7,0.06391465663909912,0.5,0.875
Qwen/Qwen3-235B-A22B-Instruct-2507,unsafe_state_change,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,1.2962962962962963,1.6666666666666667,0.34722222222222215,-0.08680555555555554,0.954861111111111,2,6,0.2890625,0.375,0.875
Qwen/Qwen3-32B,unsafe_state_change,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,14.537037037037036,5.37037037037037,-9.54861111111111,-14.930555555555557,-4.6875,109,10,3.518195580823734e-22,0.00024998750062496874,0.0017499125043747813
Qwen/Qwen3-32B,unsafe_state_change,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,14.537037037037036,5.0,-9.895833333333334,-15.190972222222223,-5.295138888888888,103,0,1.9721522630525295e-31,7.62939453125e-06,5.340576171875e-05
Qwen/Qwen3-32B,unsafe_state_change,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,5.37037037037037,5.0,-0.34722222222222215,-2.34375,1.5625,16,12,0.5715881884098053,0.8125,1.0
nvidia/Cosmos3-Super-Reasoner,unsafe_state_change,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,1.2037037037037037,0.2777777777777778,-1.0416666666666667,-3.125,0.5208333333333334,13,3,0.021270751953125,0.5,1.0
nvidia/Cosmos3-Super-Reasoner,unsafe_state_change,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,1.2037037037037037,0.0,-1.3020833333333333,-3.2986111111111107,0.0,13,0,0.000244140625,0.5,0.875
nvidia/Cosmos3-Super-Reasoner,unsafe_state_change,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,0.2777777777777778,0.0,-0.2604166666666667,-0.78125,0.0,3,0,0.25,1.0,1.0
openai/gpt-oss-120b,unsafe_state_change,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,1.2037037037037037,1.5740740740740742,0.6365740740740741,-1.2731481481481481,2.7777777777777772,9,13,0.5234670639038086,0.625,1.0
openai/gpt-oss-120b,unsafe_state_change,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,1.2037037037037037,0.8333333333333334,-0.2025462962962963,-2.228009259259259,2.0833333333333335,12,8,0.5034446716308594,0.875,1.0
openai/gpt-oss-120b,unsafe_state_change,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,1.5740740740740742,0.8333333333333334,-0.8391203703703702,-2.517361111111111,0.17361111111111108,11,3,0.057373046875,0.375,0.875
zai-org/GLM-5.1,unsafe_state_change,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,0.09259259259259259,0.09259259259259259,0.0,-0.2604166666666667,0.2604166666666667,1,1,1.0,1.0,1.0
zai-org/GLM-5.1,unsafe_state_change,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,0.09259259259259259,0.0,-0.08680555555555554,-0.2604166666666667,0.0,1,0,1.0,1.0,1.0
zai-org/GLM-5.1,unsafe_state_change,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,0.09259259259259259,0.0,-0.08680555555555554,-0.2604166666666667,0.0,1,0,1.0,1.0,1.0
NousResearch/Hermes-4-405B,unintended_drift,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,0.0,2.2222222222222223,2.228009259259259,0.34722222222222215,4.8321759259259265,0,24,1.1920928955078125e-07,0.0625,0.21875
NousResearch/Hermes-4-405B,unintended_drift,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0
NousResearch/Hermes-4-405B,unintended_drift,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,2.2222222222222223,0.0,-2.228009259259259,-4.8321759259259265,-0.34722222222222215,24,0,1.1920928955078125e-07,0.0625,0.175
NousResearch/Hermes-4-70B,unintended_drift,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,0.0,1.2037037037037037,1.1574074074074074,0.11574074074074074,2.5752314814814814,0,13,0.000244140625,0.125,0.21875
NousResearch/Hermes-4-70B,unintended_drift,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0
NousResearch/Hermes-4-70B,unintended_drift,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,1.2037037037037037,0.0,-1.1574074074074074,-2.5752314814814814,-0.11574074074074074,13,0,0.000244140625,0.125,0.175
Qwen/Qwen3-235B-A22B-Instruct-2507,unintended_drift,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,0.09259259259259259,1.3888888888888888,1.3020833333333333,0.08680555555555554,3.038194444444444,1,15,0.000518798828125,0.125,0.21875
Qwen/Qwen3-235B-A22B-Instruct-2507,unintended_drift,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,0.09259259259259259,0.0,-0.08680555555555554,-0.2604166666666667,0.0,1,0,1.0,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507,unintended_drift,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,1.3888888888888888,0.0,-1.3888888888888886,-3.2118055555555554,-0.08680555555555554,15,0,6.103515625e-05,0.125,0.175
Qwen/Qwen3-32B,unintended_drift,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,12.407407407407407,2.962962962962963,-10.011574074074074,-15.769675925925926,-4.890046296296297,113,11,1.7582222198414876e-22,0.00024998750062496874,0.0017499125043747813
Qwen/Qwen3-32B,unintended_drift,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,12.407407407407407,0.0,-12.991898148148147,-18.836805555555554,-7.581018518518518,134,0,9.183549615799121e-41,4.999750012499375e-05,0.00034998250087495624
Qwen/Qwen3-32B,unintended_drift,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,2.962962962962963,0.0,-2.9803240740740744,-6.076388888888888,-0.6944444444444443,32,0,4.656612873077393e-10,0.015625,0.109375
nvidia/Cosmos3-Super-Reasoner,unintended_drift,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,1.3888888888888888,0.18518518518518517,-1.359953703703704,-3.530092592592592,0.17361111111111108,15,2,0.002349853515625,0.25,0.35
nvidia/Cosmos3-Super-Reasoner,unintended_drift,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,1.3888888888888888,0.0,-1.5335648148148149,-3.6458333333333335,0.0,15,0,6.103515625e-05,0.25,0.5833333333333334
nvidia/Cosmos3-Super-Reasoner,unintended_drift,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,0.18518518518518517,0.0,-0.17361111111111108,-0.5208333333333334,0.0,2,0,0.5,1.0,1.0
openai/gpt-oss-120b,unintended_drift,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,0.6481481481481481,1.5740740740740742,1.128472222222222,-0.14467592592592593,3.009259259259259,3,13,0.021270751953125,0.375,0.4375
openai/gpt-oss-120b,unintended_drift,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,0.6481481481481481,0.0,-0.7523148148148148,-1.909722222222222,0.0,7,0,0.015625,0.25,0.5833333333333334
openai/gpt-oss-120b,unintended_drift,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,1.5740740740740742,0.0,-1.880787037037037,-4.484953703703703,-0.08680555555555554,17,0,1.52587890625e-05,0.125,0.175
zai-org/GLM-5.1,unintended_drift,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,0.09259259259259259,0.09259259259259259,0.0,-0.2604166666666667,0.2604166666666667,1,1,1.0,1.0,1.0
zai-org/GLM-5.1,unintended_drift,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,0.09259259259259259,0.0,-0.08680555555555554,-0.2604166666666667,0.0,1,0,1.0,1.0,1.0
zai-org/GLM-5.1,unintended_drift,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,0.09259259259259259,0.0,-0.08680555555555554,-0.2604166666666667,0.0,1,0,1.0,1.0,1.0
