model,mode,category,n,semantic_ok,unsafe_state_change,unintended_drift,identity_error
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,modifier_add_scoped,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,modifier_reversal,10,30.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,quantity_decrease,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,quantity_increase,10,90.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,remove_scoped_duplicate,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,replace_item,10,90.0,0.0,10.0,10.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,size_change_scoped,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,stale_reference,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,unavailable_add,10,0.0,70.0,60.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,add_item,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,constraint_add_safe,10,20.0,0.0,20.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,constraint_new_conflict,10,10.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,modifier_add_scoped,10,80.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,modifier_reversal,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,quantity_decrease,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,quantity_increase,10,80.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,remove_scoped_duplicate,10,60.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,replace_item,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,size_change_scoped,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,stale_reference,10,90.0,10.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,unavailable_add,10,0.0,70.0,40.0,0.0
google/gemma-2-2b-it,line_patch,add_item,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,constraint_add_safe,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,constraint_new_conflict,10,0.0,20.0,0.0,0.0
google/gemma-2-2b-it,line_patch,modifier_add_scoped,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,modifier_reversal,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,quantity_decrease,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,quantity_increase,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,remove_scoped_duplicate,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,replace_item,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,size_change_scoped,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,stale_reference,10,40.0,60.0,0.0,0.0
google/gemma-2-2b-it,line_patch,unavailable_add,10,70.0,30.0,0.0,0.0
google/gemma-2-2b-it,rewrite,add_item,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,constraint_add_safe,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,constraint_new_conflict,10,0.0,20.0,0.0,0.0
google/gemma-2-2b-it,rewrite,modifier_add_scoped,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,modifier_reversal,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,quantity_decrease,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,quantity_increase,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,remove_scoped_duplicate,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,replace_item,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,size_change_scoped,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,stale_reference,10,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,unavailable_add,10,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,add_item,10,10.0,0.0,50.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,constraint_add_safe,10,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,constraint_new_conflict,10,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,modifier_add_scoped,10,60.0,0.0,20.0,20.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,modifier_reversal,10,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,quantity_decrease,10,50.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,quantity_increase,10,80.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,remove_scoped_duplicate,10,100.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,replace_item,10,30.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,size_change_scoped,10,70.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,stale_reference,10,50.0,50.0,50.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,unavailable_add,10,30.0,70.0,70.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,add_item,10,30.0,0.0,30.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,constraint_add_safe,10,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,constraint_new_conflict,10,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,modifier_add_scoped,10,0.0,0.0,80.0,80.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,modifier_reversal,10,70.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,quantity_decrease,10,20.0,0.0,40.0,40.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,quantity_increase,10,30.0,0.0,40.0,40.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,remove_scoped_duplicate,10,0.0,0.0,50.0,40.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,replace_item,10,0.0,20.0,30.0,10.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,size_change_scoped,10,10.0,0.0,30.0,30.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,stale_reference,10,70.0,30.0,30.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,unavailable_add,10,50.0,50.0,50.0,0.0
